,Up,Left,Down,Right
0,-97.46500420538725,-97.4650041807196,2.668416655900721,-31.239981572646453
1,-81.31537082507678,-2.5950504387670716,7.9369866078504465,19.747387847675448
2,-75.2526129350503,-31.239981892323787,13.76001756225209,26.049881944921545
3,-68.95011805544948,19.747387732977796,-25.252612197394203,32.68408625781217
4,-62.31592250329277,26.04988128311671,9.756187438315948,39.667459218749684
5,-55.332540931263466,32.68408601224341,47.0183781249997,-55.33254082775308
6,-2.4650042678914494,-92.33158336858892,-47.4659185078336,8.072017532527077
7,-31.23999122008751,2.668415598395713,-43.59585025374486,13.760018455291668
8,19.747387847675448,8.071992914576363,-999.9999999985914,-25.25261446413521
9,26.049881944921303,13.106816220998212,9.641951408232796,9.667047120930812
10,32.542720167037004,-25.347456186318947,62.90124999999975,46.99885064901373
11,39.667458781505324,9.75618703967492,54.756187499999726,-47.981641266725255
12,2.668312927381682,-100.4867469397963,1.0825027435247863,-47.38488405842233
13,7.381803138121476,-51.79946629021272,6.405852312253156,-999.9970936785838
14,0.0,0.0,0.0,0.0
15,-26.791106133674635,-999.8407320891148,17.201703631287117,62.90124999940315
16,9.756187462693422,9.756187433056164,71.47499999999977,54.75618744316703
17,47.01837492293086,62.90124999999975,35.499999701184336,-40.243812950852586
18,-52.67136998448814,-95.9163288952987,-12.856372608401914,6.405663658954452
19,-45.83312506078044,0.02277844475076518,-45.9320638871659,12.006187414066972
20,-999.7815254994715,5.534287181853248,-25.96511701643843,17.9012499916231
21,9.607326695515379,11.910647368647439,26.395476780613734,71.47499999999957
22,62.90124998319994,17.90124972813928,80.49999999999983,35.499999999615724
23,54.74570745982383,71.45749270550911,89.99999999999989,-14.526524656594363
24,-1.3093735612970288,-115.14172502330315,-31.581668759277235,-62.81231707223094
25,5.617652694949054,-19.094091831502848,-32.515482301375386,-36.366706576907596
26,4.8008046257624954,-58.77465891666671,-24.389167685303576,26.395296447803887
27,16.180715441285578,-27.570752918979498,-9.647184939971854,80.49999999304711
28,71.47499978201037,26.474998344495965,44.9999997402117,89.99999999999989
29,35.49999998984639,80.49999999035343,99.99999999999994,-5.00000001949114
30,-22.29879096147535,-126.10456197024399,-126.94667672467534,-32.84375881501428
31,-67.32653406811652,-32.53892701375288,-126.8539691831304,-26.321923754910003
32,-60.30899452940711,-33.71009020772694,-122.25774763966363,-10.635803412136632
33,16.325689305756573,-23.16518860548305,-66.52845263023845,44.884766603906385
34,79.59268674950498,-12.496964276749349,-6.192614051546991,99.99999999142267
35,0.0,0.0,0.0,0.0
